Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity,Replicate 9 Percent Group Activity,Replicate 10 Percent Group Activity,Replicate 11 Percent Group Activity,Replicate 12 Percent Group Activity
"(693, 694]",0.619444444,0.493333333,0.675,0.518181818,0.647222222,0.476923077,0.903030303,0.627777778,0.678787879,0.744444444,0.703030303,0.533333333
"(694, 695]",0.675,0.64,0.544444444,0.609090909,0.691666667,0.548717949,0.757575758,0.683333333,0.748484848,0.719444444,0.745454545,0.651515152
"(695, 696]",0.561111111,0.65,0.722222222,0.551515152,0.644444444,0.702564103,0.703030303,0.605555556,0.651515152,0.686111111,0.615151515,0.778787879
"(696, 697]",0.727777778,0.64,0.805555556,0.472727273,0.727777778,0.687179487,0.590909091,0.663888889,0.724242424,0.797222222,0.633333333,0.772727273
"(697, 698]",0.741666667,0.586666667,0.783333333,0.475757576,0.625,0.602564103,0.745454545,0.7,0.821212121,0.65,0.687878788,0.872727273
"(698, 699]",0.663793103,0.606896552,0.795977011,0.554858934,0.514367816,0.628647215,0.786833856,0.614942529,0.70846395,0.537356322,0.695924765,0.75862069
"(699, 700]",0.65,0.593333333,0.844444444,0.56969697,0.355555556,0.58974359,0.906060606,0.591666667,0.596969697,0.566666667,0.684848485,0.703030303
"(700, 701]",0.786111111,0.59,0.777777778,0.606060606,0.586111111,0.456410256,0.727272727,0.733333333,0.784848485,0.647222222,0.566666667,0.606060606
"(701, 702]",0.780555556,0.51,0.777777778,0.6,0.744444444,0.515384615,0.615151515,0.575,0.763636364,0.716666667,0.63030303,0.839393939
"(702, 703]",0.630555556,0.533333333,0.633333333,0.475757576,0.777777778,0.671794872,0.636363636,0.583333333,0.790909091,0.686111111,0.636363636,0.778787879
"(703, 704]",0.65,0.606666667,0.672222222,0.663636364,0.808333333,0.592307692,0.496969697,0.694444444,0.8,0.672222222,0.5,0.66969697
"(704, 705]",0.609195402,0.286206897,0.626436782,0.721003135,0.738505747,0.681697613,0.548589342,0.658045977,0.689655172,0.606321839,0.454545455,0.705329154
"(705, 706]",0.666666667,0.22,0.663888889,0.56969697,0.680555556,0.682051282,0.590909091,0.683333333,0.750733138,0.558333333,0.642424242,0.768328446
"(706, 707]",0.686111111,0.37,0.672222222,0.536363636,0.638888889,0.487179487,0.66969697,0.530555556,0.777429467,0.652777778,0.572727273,0.63322884
"(707, 708]",0.733333333,0.52,0.661111111,0.506060606,0.702777778,0.687179487,0.766666667,0.666666667,0.536363636,0.630555556,0.615151515,0.76969697
"(708, 709]",0.630555556,0.536666667,0.808333333,0.557575758,0.675,0.641025641,0.778787879,0.794444444,0.615151515,0.683333333,0.5,0.660606061
"(709, 710]",0.694444444,0.543333333,0.744444444,0.66969697,0.619444444,0.641025641,0.793939394,0.730555556,0.575757576,0.638888889,0.618181818,0.733333333
"(710, 711]",0.735632184,0.555172414,0.752873563,0.614420063,0.761494253,0.705570292,0.846394984,0.591954023,0.75862069,0.727011494,0.586206897,0.752351097
"(711, 712]",0.769444444,0.606666667,0.625,0.533333333,0.661290323,0.672456576,0.80058651,0.525,0.624633431,0.798387097,0.750733138,0.803519062
"(712, 713]",0.697222222,0.43,0.775,0.536363636,0.715517241,0.604774536,0.589341693,0.708333333,0.752351097,0.692528736,0.695924765,0.811912226
"(713, 714]",0.736111111,0.466666667,0.758333333,0.778787879,0.683333333,0.579487179,0.739393939,0.741666667,0.742424242,0.638888889,0.748484848,0.763636364
"(714, 715]",0.686111111,0.73,0.716666667,0.551515152,0.716666667,0.530769231,0.696969697,0.547222222,0.660606061,0.797222222,0.733333333,0.681818182
"(715, 716]",0.605555556,0.653333333,0.663888889,0.596969697,0.636111111,0.525641026,0.827272727,0.611111111,0.824242424,0.655555556,0.848484848,0.524242424
"(716, 717]",0.623563218,0.627586207,0.66091954,0.636363636,0.514367816,0.519893899,0.699059561,0.681034483,0.830721003,0.686781609,0.749216301,0.645768025
"(717, 718]",0.65,0.553333333,0.644444444,0.615151515,0.647849462,0.53101737,0.762463343,0.758064516,0.75659824,0.693548387,0.560117302,0.66568915
"(718, 719]",0.688888889,0.526666667,0.716666667,0.760606061,0.755747126,0.586206897,0.542319749,0.597701149,0.739811912,0.804597701,0.661442006,0.652037618
"(719, 720]",0.527777778,0.573333333,0.711111111,0.663636364,0.669444444,0.676923077,0.503030303,0.530555556,0.754545455,0.691666667,0.503030303,0.56969697
"(720, 721]",0.711111111,0.516666667,0.761111111,0.706060606,0.711111111,0.48974359,0.66969697,0.641666667,0.754545455,0.702777778,0.612121212,0.715151515
"(721, 722]",0.752777778,0.473333333,0.738888889,0.596969697,0.722222222,0.592307692,0.712121212,0.683333333,0.718181818,0.686111111,0.606060606,0.775757576
"(722, 723]",0.632183908,0.551724138,0.658045977,0.699059561,0.640804598,0.618037135,0.695924765,0.488505747,0.768025078,0.655172414,0.699059561,0.673981191
"(723, 724]",0.488888889,0.593333333,0.719444444,0.66969697,0.653225806,0.650124069,0.642228739,0.575268817,0.633333333,0.75,0.615835777,0.739002933
"(724, 725]",0.7,0.706666667,0.766666667,0.645454545,0.626436782,0.628647215,0.667711599,0.58908046,0.733333333,0.574712644,0.539184953,0.768025078
"(725, 726]",0.613888889,0.61,0.636111111,0.566666667,0.652777778,0.6,0.696969697,0.694444444,0.739393939,0.7,0.572727273,0.724242424
"(726, 727]",0.633333333,0.596666667,0.758333333,0.751515152,0.747222222,0.533333333,0.739393939,0.663888889,0.712121212,0.836111111,0.627272727,0.766666667
"(727, 728]",0.616666667,0.673333333,0.558333333,0.645454545,0.722222222,0.517948718,0.724242424,0.691666667,0.815151515,0.786111111,0.651515152,0.772727273
"(728, 729]",0.686781609,0.527586207,0.772988506,0.617554859,0.732758621,0.578249337,0.808777429,0.531609195,0.774294671,0.744252874,0.492163009,0.648902821
"(729, 730]",0.706989247,0.443333333,0.752777778,0.724242424,0.706989247,0.553349876,0.630498534,0.545698925,0.653958944,0.64516129,0.507331378,0.68914956
"(730, 731]",0.738505747,0.483333333,0.775,0.633333333,0.594827586,0.469496021,0.677115987,0.681034483,0.504702194,0.721264368,0.749216301,0.426332288
