Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity,Replicate 9 Percent Group Activity,Replicate 10 Percent Group Activity,Replicate 11 Percent Group Activity,Replicate 12 Percent Group Activity
"(603, 604]",0.805555556,0.839393939,0.906060606,0.802564103,0.718181818,0.716666667,0.872727273,0.744444444,0.890909091,0.909090909,0.846666667,0.721212121
"(604, 605]",0.733333333,0.675757576,0.851515152,0.764102564,0.7,0.713888889,0.851515152,0.852777778,0.833333333,0.872727273,0.726666667,0.809090909
"(605, 606]",0.669444444,0.748484848,0.936363636,0.805128205,0.6,0.811111111,0.881818182,0.772222222,0.921212121,0.872727273,0.696666667,0.790909091
"(606, 607]",0.66954023,0.617554859,0.937304075,0.75066313,0.606060606,0.866666667,0.809090909,0.733333333,0.893939394,0.73030303,0.74,0.833333333
"(607, 608]",0.666666667,0.609970674,0.894428152,0.605459057,0.796969697,0.905555556,0.718181818,0.622222222,0.863636364,0.609090909,0.796666667,0.863636364
"(608, 609]",0.67816092,0.645768025,0.724137931,0.774535809,0.846394984,0.841954023,0.805642633,0.732758621,0.777429467,0.721003135,0.848275862,0.808777429
"(609, 610]",0.65,0.787878788,0.736363636,0.848717949,0.790909091,0.7,0.742424242,0.672222222,0.76969697,0.887878788,0.763333333,0.845454545
"(610, 611]",0.722222222,0.839393939,0.639393939,0.892307692,0.796969697,0.819444444,0.781818182,0.616666667,0.887878788,0.824242424,0.763333333,0.681818182
"(611, 612]",0.708333333,0.587878788,0.772727273,0.823076923,0.881818182,0.683333333,0.606060606,0.686111111,0.781818182,0.812121212,0.803333333,0.76969697
"(612, 613]",0.711111111,0.609090909,0.805642633,0.708222812,0.833333333,0.758333333,0.796969697,0.791666667,0.709090909,0.766666667,0.726666667,0.86969697
"(613, 614]",0.625,0.790909091,0.785923754,0.781637717,0.8,0.763888889,0.727272727,0.783333333,0.775757576,0.763636364,0.73,0.833333333
"(614, 615]",0.698275862,0.65830721,0.808777429,0.763925729,0.601880878,0.83045977,0.890282132,0.850574713,0.808777429,0.896551724,0.710344828,0.793103448
"(615, 616]",0.819444444,0.693939394,0.7,0.815384615,0.718181818,0.752777778,0.833333333,0.788888889,0.872727273,0.8,0.863333333,0.587878788
"(616, 617]",0.691666667,0.706060606,0.781818182,0.825641026,0.639393939,0.669444444,0.833333333,0.758333333,0.839393939,0.748484848,0.753333333,0.7
"(617, 618]",0.783333333,0.790909091,0.890909091,0.787179487,0.76969697,0.777777778,0.884848485,0.788888889,0.842424242,0.836363636,0.906666667,0.739393939
"(618, 619]",0.611111111,0.566666667,0.863636364,0.8,0.678787879,0.761111111,0.851515152,0.727777778,0.763636364,0.918181818,0.793333333,0.712121212
"(619, 620]",0.688888889,0.636363636,0.936363636,0.825641026,0.784848485,0.805555556,0.678787879,0.738888889,0.878787879,0.757575758,0.736666667,0.8
"(620, 621]",0.75,0.564263323,0.880877743,0.763925729,0.815047022,0.795977011,0.887147335,0.752873563,0.849529781,0.768025078,0.779310345,0.724137931
"(621, 622]",0.675,0.475757576,0.815151515,0.664102564,0.733333333,0.855555556,0.815151515,0.816666667,0.757575758,0.815151515,0.796666667,0.666666667
"(622, 623]",0.544444444,0.606060606,0.754545455,0.569230769,0.824242424,0.858333333,0.906060606,0.736111111,0.887878788,0.836363636,0.846666667,0.778787879
"(623, 624]",0.586111111,0.739393939,0.763636364,0.630769231,0.760606061,0.816666667,0.878787879,0.844444444,0.778787879,0.857575758,0.773333333,0.687878788
"(624, 625]",0.725,0.651515152,0.781818182,0.720512821,0.666666667,0.752777778,0.836363636,0.65,0.781818182,0.845454545,0.683333333,0.796969697
"(625, 626]",0.655555556,0.778787879,0.739393939,0.643589744,0.703030303,0.8,0.927272727,0.811111111,0.890909091,0.793939394,0.81,0.66969697
"(626, 627]",0.899425287,0.742946708,0.858934169,0.665782493,0.796238245,0.646551724,0.852664577,0.718390805,0.811912226,0.746081505,0.703448276,0.836990596
"(627, 628]",0.841666667,0.703030303,0.727272727,0.774358974,0.7,0.811111111,0.890909091,0.747222222,0.824242424,0.754545455,0.646666667,0.827272727
"(628, 629]",0.691666667,0.827272727,0.954545455,0.651282051,0.551515152,0.755555556,0.872727273,0.75,0.887878788,0.854545455,0.716666667,0.903030303
"(629, 630]",0.733333333,0.627272727,0.884848485,0.787179487,0.733333333,0.769444444,0.824242424,0.747222222,0.742424242,0.875757576,0.873333333,0.86969697
"(630, 631]",0.747222222,0.766666667,0.693939394,0.835897436,0.781818182,0.844444444,0.854545455,0.622222222,0.736363636,0.9,0.826666667,0.712121212
"(631, 632]",0.705555556,0.742424242,0.696969697,0.861538462,0.763636364,0.788888889,0.848484848,0.669444444,0.66969697,0.884848485,0.76,0.748484848
"(632, 633]",0.712643678,0.573667712,0.818181818,0.620689655,0.670846395,0.784482759,0.818181818,0.761494253,0.796238245,0.830721003,0.84137931,0.752351097
"(633, 634]",0.686111111,0.587878788,0.766666667,0.543589744,0.712121212,0.75,0.678787879,0.816666667,0.787878788,0.9,0.743333333,0.745454545
"(634, 635]",0.563888889,0.703030303,0.754545455,0.671794872,0.7,0.752777778,0.933333333,0.788888889,0.903030303,0.854545455,0.78,0.712121212
"(635, 636]",0.561111111,0.636363636,0.866666667,0.897435897,0.872727273,0.766666667,0.76969697,0.711111111,0.893939394,0.860606061,0.713333333,0.675757576
"(636, 637]",0.719444444,0.636363636,0.8,0.797435897,0.845454545,0.813888889,0.796969697,0.8,0.793939394,0.803030303,0.703333333,0.736363636
"(637, 638]",0.67816092,0.567398119,0.836363636,0.774358974,0.827272727,0.680555556,0.849529781,0.708333333,0.903030303,0.833855799,0.796666667,0.715151515
"(638, 639]",0.769444444,0.615151515,0.893416928,0.75596817,0.645768025,0.755747126,0.657575758,0.804597701,0.893416928,0.821212121,0.817241379,0.724137931
"(639, 640]",0.869444444,0.687878788,0.833333333,0.7,0.696969697,0.769444444,0.839393939,0.813888889,0.854545455,0.86969697,0.786666667,0.681818182
"(640, 641]",0.8,0.612121212,0.875757576,0.707692308,0.739393939,0.733333333,0.836363636,0.847222222,0.778787879,0.806060606,0.72,0.709090909
"(641, 642]",0.675,0.696969697,0.657575758,0.830769231,0.751515152,0.65,0.860606061,0.788888889,0.809090909,0.821212121,0.653333333,0.890909091
"(642, 643]",0.741666667,0.8,0.5,0.951282051,0.672727273,0.844444444,0.86969697,0.838888889,0.766666667,0.875757576,0.716666667,0.842424242
"(643, 644]",0.475,0.787878788,0.715151515,0.720512821,0.763636364,0.811111111,0.83030303,0.891666667,0.751515152,0.878787879,0.73,0.851515152
"(644, 645]",0.681034483,0.799373041,0.799373041,0.652519894,0.664576803,0.867816092,0.868338558,0.74137931,0.918495298,0.824451411,0.837931034,0.714733542
"(645, 646]",0.791666667,0.687878788,0.848484848,0.653846154,0.46969697,0.841666667,0.912121212,0.744444444,0.939393939,0.815151515,0.74,0.748484848
"(646, 647]",0.716666667,0.7,0.815151515,0.756410256,0.606060606,0.775,0.881818182,0.641666667,0.763636364,0.790909091,0.85,0.757575758
"(647, 648]",0.713888889,0.760606061,0.818181818,0.602564103,0.715151515,0.85,0.896969697,0.691666667,0.793939394,0.839393939,0.746666667,0.757575758
"(648, 649]",0.794444444,0.578787879,0.981818182,0.720512821,0.866666667,0.788888889,0.848484848,0.747222222,0.851515152,0.836363636,0.81,0.687878788
"(649, 650]",0.719444444,0.742424242,0.775757576,0.787179487,0.763636364,0.747222222,0.693939394,0.780555556,0.863636364,0.827272727,0.853333333,0.721212121
