Time Elapsed (sec),Replicate 1 Percent Group Activity,Replicate 2 Percent Group Activity,Replicate 3 Percent Group Activity,Replicate 4 Percent Group Activity,Replicate 5 Percent Group Activity,Replicate 6 Percent Group Activity,Replicate 7 Percent Group Activity,Replicate 8 Percent Group Activity,Replicate 9 Percent Group Activity,Replicate 10 Percent Group Activity,Replicate 11 Percent Group Activity,Replicate 12 Percent Group Activity
"(1029, 1030]",0.086206897,0,0,0.084639498,0.023872679,0.087774295,0.034482759,0.045977011,0.02507837,0.175548589,0,0.013333333
"(1030, 1031]",0.113333333,0,0,0.06969697,0,0.103030303,0.021212121,0.075,0.051515152,0.175757576,0,0
"(1031, 1032]",0.093333333,0,0,0.018181818,0.048717949,0.106060606,0.021212121,0.091666667,0.027272727,0.254545455,0,0
"(1032, 1033]",0.096666667,0,0,0.033333333,0.074358974,0.087774295,0,0.072222222,0.012121212,0.181818182,0,0.01
"(1033, 1034]",0.116666667,0,0,0.087878788,0.120512821,0.032258065,0.006060606,0.080555556,0,0.087878788,0,0.006666667
"(1034, 1035]",0.133333333,0,0,0.109090909,0.161538462,0.054545455,0,0.005555556,0,0.172727273,0,0
"(1035, 1036]",0.120689655,0.003134796,0,0.081504702,0.122015915,0.037617555,0.047021944,0.002873563,0,0.163009404,0,0
"(1036, 1037]",0.17,0,0,0.06969697,0.169230769,0.060606061,0,0.063888889,0,0.175757576,0,0.013333333
"(1037, 1038]",0.126666667,0,0,0.118181818,0.112820513,0.090909091,0.024242424,0.069444444,0,0.078787879,0,0
"(1038, 1039]",0.056666667,0,0,0.051515152,0.08974359,0.075757576,0.048484848,0.061111111,0,0.145454545,0,0.013333333
"(1039, 1040]",0.003333333,0,0,0.072727273,0.061538462,0.048484848,0.042424242,0.055555556,0,0.078787879,0.012121212,0.02
"(1040, 1041]",0.103333333,0,0,0.1,0.015384615,0.090909091,0.036363636,0.030555556,0.012121212,0.060606061,0,0
"(1041, 1042]",0.072413793,0,0,0.109717868,0.00530504,0.097178683,0.006269592,0.086206897,0.043887147,0.147335423,0,0.013793103
"(1042, 1043]",0.09,0,0,0.090909091,0.01025641,0.090909091,0.090909091,0.041666667,0.018181818,0.115151515,0,0
"(1043, 1044]",0.096666667,0,0,0.112121212,0,0.090909091,0.118181818,0.066666667,0.018181818,0.103030303,0,0.003333333
"(1044, 1045]",0.1,0,0,0.151515152,0,0.06969697,0.078787879,0.008333333,0.057575758,0.090909091,0,0
"(1045, 1046]",0.123333333,0,0,0.163636364,0.123076923,0.103030303,0.078787879,0.066666667,0.012121212,0.190909091,0,0.006666667
"(1046, 1047]",0.026666667,0,0,0.096969697,0.158974359,0.103030303,0.072727273,0.097222222,0.021212121,0.203030303,0,0.013333333
"(1047, 1048]",0.075862069,0.012539185,0,0.094043887,0.140583554,0.056426332,0.059561129,0.025862069,0.018808777,0.156739812,0,0.017241379
"(1048, 1049]",0.05,0,0,0.090909091,0.156410256,0.106060606,0.1,0.075,0,0.112121212,0,0.01
"(1049, 1050]",0.026666667,0,0,0.075757576,0.135897436,0.096969697,0.042424242,0.080555556,0.024242424,0.136363636,0,0
"(1050, 1051]",0.036666667,0,0,0.021212121,0.084615385,0.084848485,0.078787879,0.083333333,0.009090909,0.1,0,0.006666667
"(1051, 1052]",0.033333333,0,0,0.042424242,0.153846154,0.087878788,0.057575758,0.008333333,0,0.115151515,0,0.02
"(1052, 1053]",0.086666667,0,0,0.042424242,0.153846154,0.084848485,0.045454545,0.055555556,0,0.196969697,0,0.013333333
"(1053, 1054]",0.051724138,0,0,0.084639498,0.061007958,0.090909091,0.068965517,0.022988506,0.012539185,0.184952978,0,0.003448276
